Spanish,English,French,Chinese,Topic,Sub-topic,AudioOK,ImageOK,EnglishAudio,SpanishAudio,Image,Original image name,Copyright (if any),Missing,Existing,New,Comments,frenchaudio,chineseaudio
por favor,please,,请,Essentials,,✓,✓,oas_eng_please,oas_spa_por_favor,por_favor,bigstock--126730115,,,,X,"En el ipad, el usuario no sabe que debe traer los circulos al frente para verlos más grandes. Desde diseño los temas más importantes deben venir en círculos más grandes. Este es el caso de Essentials, que debe ser lo primero que el estudiante aprende, pero que el diseño no se lo sugiere. ",,
gracias,thank you,,谢谢你,Essentials,,✓,x,oas_eng_thank_you,oas_spa_gracias,gracias,bigstock-The-Joy-Of-Life-119561765,,,,X,,,
De nada.,You’re welcome.,,不客气／不用谢,Essentials,,✓,x,oas_eng_youre_welcome,oas_spa_de_nada,de_nada,,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
Perdón.,Excuse me.,,对不起／请原谅／抱歉／劳驾,Essentials,,✓,✓,oas_eng_excuse_me,oas_spa_perdon,Perdon,shutterstock_425071468,,,,X,,,
Lo siento.,I’m sorry,,对不起,Essentials,,✓,x,oas_eng_im_sorry,oas_spa_lo_siento,lo_siento,shutterstock_333133535,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
hacer la maleta,to pack,,收拾行李,Packing,,NA,NA,oas_eng_packing,oas_spa_hacer_la_maleta,hacer_la_maleta,shutterstock_310309028,,,,X,El círculo debe decir Packing en lugar de Baggage,,
treinta y dos,thirty-two,,三十二,Numbers,Cardinal,✓,x (tamaño),oas_eng_thirty_two,oas_spa_treinta_y_dos,32,shutterstock_102423025,,,X,,,,
el despertador,alarm clock,,闹钟,Packing,,✓,✓,oas_eng_alarm_clock,oas_spa_el_despertador,despertador,bigstock-Rise-And-Shine--366789,,,,X,,,
auriculares,headphones,,,Packing,,x,x,,,auriculares,shutterstock_116099650,,,,X,,,
tercero,third,,第三,Numbers,Ordinal,✓,x (tamaño),oas_eng_third,oas_spa_tercero,3rd,shutterstock_325503053,,,X,,,,
quinto,fifth,,第五,Numbers,Ordinal,✓,x (tamaño),oas_eng_fifth,oas_spa_quinto,5th,shutterstock_434604319,,,X,,,,
el maletín,briefcase,,公文包,Packing,,✓,✓,oas_eng_briefcase,oas_spa_el_maletin,maletin,bigstock-Black-leather-briefcase-103874597,,,,X,,,
la cámara,camera,,照相机,Packing,,✓,✓,oas_eng_camera,oas_spa_la_camara,camara,bigstock-Photography-Hobby-119082725,,,,X,,,
"el teléfono celular, el móvil (Esp.)",cellphone,,手机,Packing,,✓,✓,oas_eng_cell_phone,oas_spa_el_telefono_celular,celular,shutterstock_103792316,,,,X,,,
la ropa,clothing,,衣物,Packing,,✓,✓,oas_eng_clothing,oas_spa_la_ropa,ropa,shutterstock_89416408,,,,X,,,
los lentes de contacto,contact lenses,,隐形眼镜,Packing,,✓,✓,oas_eng_contact_lenses,oas_spa_los_lentes_de_contacto,lentes_de_contacto,bigstock-Contact-Lens-28299233,,,,X,,,
la tarjeta de crédito,credit card,,信用卡,Packing,,✓,✓,oas_eng_credit_card,oas_spa_la_tarjeta_de_credito,tarjeta_de_credito,bigstock-Male-hand-showing-credit-card-19469411,,,,X,,,
a la izquierda,left,,左边,Conversation,Directions,✓,x (tamaño),oas_eng_left,oas_spa_a_la_izquierda,a_la_izquierda,,,,X,,,,
el botiquín de primeros auxilios,first-aid kit,,急救包,Packing,,x,✓,oas_eng_first-aid_kit,oas_spa_botiquin_primeros_auxilios,botiquin,bigstock-First-aid-kit-isolated-16977680,,,,X,,,
la linterna,flashlight,,手电筒,Packing,,✓,x,oas_eng_flashlight,oas_spa_la_linterna,la_linterna,shutterstock_277212794,,,X,,,,
"las gafas, los anteojos",glasses,,眼镜,Packing,,✓,x,oas_eng_glasses,oas_spa_las_gafas,gafas,gafas,,,X,,,,
el dinero,money,,钱,Packing,,✓,x,oas_eng_money,oas_spa_el_dinero,dinero,dinero,,,X,,,,
el pasaporte,passport,,护照,Packing,,✓,✓,oas_eng_passport,oas_spa_el_pasaporte,pasaporte,bigstock-Passports-104190974,,,,X,,,
"la bolsa, el bolso (Esp.)",pocketbook,,口袋书／袖珍本,Packing,,✓,✓,oas_eng_pocketbook,oas_spa_la_bolsa,pocketbook,shutterstock_131292965,,,,X,,,
Abierto,Open,,打开,Signage,,✓,x (pixelada),oas_eng_open,oas_spa_abierto,abierto,shutterstock_50953621,,,X,X,no debería tener mayúscula inicial,,
el abrigo,coat,,外套,Clothing,,✓,x (pixelada),oas_eng_coat,oas_spa_el_abrigo,abrigo,,,,X,,,,
la guía,travel guide,,旅游指南,Packing,,✓,x,oas_eng_travel_guide,oas_spa_la_guia,,,,,,X,,,
abril,April,,四月,Time,Months,✓,x (pixelada),oas_eng_april,oas_spa_abril,abril,,,,X,,,,
"la visa, el visado (Esp.)",visa,,签证,Packing,,✓,✓,oas_eng_visa,oas_spa_la_visa,visa,shutterstock_397569799,,,,X,,,
"la cartera, la billetera",wallet,,钱包,Packing,,✓,✓,oas_eng_wallet,oas_spa_la_cartera,billetera,,,,X,,,,
En el médico,At the doctor,,看医生,Doctor,,NA,NA,oas_eng_at_the_doctor,oas_spa_en_el_medico,,shutterstock_149160509,,,,X,,,
Estoy enfermo/a.,I’m sick.,,我生病了。,Doctor,,✓,✓,oas_eng_im_sick,oas_spa_estoy_enfermo,Estoy-enferma,shutterstock_390256660,,,,X,"Corregir apóstrofe en inglés, están usando tilde.",,
medicamento,medicine,,,,,x,✓,oas_eng_medicine,oas_spa_medicamento,medicamento,bigstock-Medicine-and-Chemical-Structur-91076057,,,,X,,,
Me duele (el/la)___.,My ___ hurts.,,我___疼。,Doctor,,✓,x,oas_eng_my_hurts,oas_spa_me_duele_el,,shutterstock_50967766,,,,X,,,
el brazo,arm,,手臂,Doctor,,✓,✓,oas_eng_arm,oas_spa_el_brazo,brazo,,,,X,,,,
el codo,elbow,,手肘,Doctor,,✓,✓,oas_eng_elbow,oas_spa_el_codo,codo,bigstock--131674187,,,,X,,,
la muñeca,wrist,,手腕,Doctor,,✓,x,oas_eng_wrist,oas_spa_la_muneca,,,,,X,,,,
la espalda,back,,背,Doctor,,✓,✓,oas_eng_back,oas_spa_la_espalda,espalda,bigstock-Athletic-woman-touching-neck-a-83021996,,,,X,,,
el cuello,neck,,颈脖,Doctor,,✓,✓,oas_eng_neck,oas_spa_el_cuello,cuello,bigstock-Neck-Pain--Male-Anatomy-Sport-113298599,,,,X,,,
el pecho,chest,,胸,Doctor,,✓,✓,oas_eng_chest,oas_spa_el_pecho,pecho,shutterstock_145838060,,,,X,,,
la acera,sidewalk,,人行道,Traveling,Town,✓,x (pixelada),oas_eng_sidewalk,oas_spa_la_acera,acera_la_vereda,,,,X,,,,
"la oreja, el oído",ear,,耳朵,Doctor,,✓,x,oas_eng_ear,oas_spa_el_oido,oido,shutterstock_383358217,,,,X,,,
la nariz,nose,,鼻子,Doctor,,x,✓,oas_eng_nose,oas_spa_la_nariz,nariz,bigstock-a-fake-mustache-nose-and-eyeg-106139300,,,,X,"Error en español. Dice: ""a nariz"", debe decir: ""la nariz"".",,
la garganta,throat,,喉咙,Doctor,,✓,✓,oas_eng_throat,oas_spa_la_garganta,garganta,shutterstock_177004769,,,,X,,,
el ojo,eye,,眼睛,Doctor,,✓,✓,oas_eng_eye,oas_spa_el_ojo,ojo,shutterstock_157742240,,,,X,,,
el pie,foot,,脚,Doctor,,✓,✓,oas_eng_foot,oas_spa_el_pie,pie,bigstock-Pain-In-The-Foot-Massage-Of-F-112936820,,,,X,,,
